newLat,newLng
23.0023365280001,120.160343872
23.0423713580001,120.160343872
22.9823191130001,120.180347532
23.0023365280001,120.180347532
23.0223539430001,120.180347532
23.0623887730001,120.180347532
22.92226686800005,120.200351192
22.962301698000047,120.200351192
23.0423713580001,120.200351192
23.0824061880001,120.200351192
22.92226686800005,120.220354852
22.942284283,120.220354852
23.0623887730001,120.220354852
22.92226686800005,120.240358512
22.962301698000047,120.240358512
23.0423713580001,120.240358512
22.942284283,120.260362172
22.9823191130001,120.260362172
23.0223539430001,120.260362172
23.0623887730001,120.260362172
22.6420230580001,120.280365832
22.682057888000102,120.280365832
22.7220927180001,120.280365832
22.92226686800005,120.280365832
22.962301698000047,120.280365832
23.0023365280001,120.280365832
23.0423713580001,120.280365832
23.0824061880001,120.280365832
22.601988228000103,120.300369492
22.6220056430001,120.300369492
22.6420230580001,120.300369492
22.7020753030001,120.300369492
22.7220927180001,120.300369492
22.942284283,120.300369492
22.9823191130001,120.300369492
23.0223539430001,120.300369492
22.5619533980001,120.320373152
22.601988228000103,120.320373152
22.5619533980001,120.340376812
22.5819708130001,120.340376812
22.7020753030001,120.340376812
22.5619533980001,120.360380472
22.601988228000103,120.360380472
22.682057888000102,120.360380472
22.7220927180001,120.360380472
22.5419359830001,120.380384132
22.5819708130001,120.380384132
22.6220056430001,120.380384132
22.6620404730001,120.380384132
22.521918568000103,120.400387792
22.5619533980001,120.400387792
22.601988228000103,120.400387792
22.6420230580001,120.400387792
22.5419359830001,120.420391452
22.6220056430001,120.420391452
22.6620404730001,120.420391452
23.4227022430001,120.420391452
23.44271965800005,120.440395112
22.682057888000102,120.480402432
22.7020753030001,120.500406092
24.1032943530001,120.540413412
24.2634336730001,120.540413412
24.083276938000047,120.560417072
24.1233117680001,120.560417072
24.243416258000103,120.560417072
24.2834510880001,120.560417072
24.1833640130001,120.580420732
24.2634336730001,120.580420732
24.1633465980001,120.600424392
24.2033814280001,120.600424392
24.1833640130001,120.620428052
24.063259523,120.700442692
24.083276938000047,120.720446352
24.6837993880001,120.920482952
24.7838864630001,120.980493932
24.8239212930001,120.980493932
24.8639561230001,120.980493932
24.763869048000103,121.000497592
24.8039038780001,121.000497592
24.843938708000103,121.000497592
24.8839735380001,121.000497592
24.7838864630001,121.020501252
24.8239212930001,121.020501252
24.8639561230001,121.020501252
24.8039038780001,121.040504912
24.843938708000103,121.040504912
24.7838864630001,121.060508572
22.7621275480001,121.140523212
24.9039909530001,121.260545172
25.0641302730001,121.260545172
24.8839735380001,121.280548832
24.924008368000106,121.280548832
25.044112858000048,121.280548832
25.08414768800005,121.280548832
25.024095443,121.300552492
25.00407802800005,121.320556152
25.044112858000048,121.320556152
24.9440257830001,121.340559812
25.0641302730001,121.340559812
25.044112858000048,121.360563472
24.9440257830001,121.380567132
25.024095443,121.380567132
25.104165103,121.380567132
24.9640431980001,121.400570792
25.00407802800005,121.400570792
25.044112858000048,121.400570792
25.08414768800005,121.400570792
24.9840606130001,121.420574452
25.024095443,121.420574452
25.0641302730001,121.420574452
25.08414768800005,121.440578112
25.204252178000047,121.440578112
25.1441999330001,121.460581772
25.16421734800005,121.460581772
25.184234763,121.460581772
25.124182518000048,121.480585432
25.104165103,121.500589092
25.08414768800005,121.520592752
25.124182518000048,121.520592752
25.104165103,121.540596412
25.08414768800005,121.560600072
25.0641302730001,121.580603732
25.00407802800005,121.600607392
25.08414768800005,121.600607392
25.0641302730001,121.620611052
25.044112858000048,121.640614712
25.08414768800005,121.640614712
25.0641302730001,121.660618372
25.104165103,121.740633012
25.124182518000048,121.760636672
