,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,updateDate
2771,JK美式炸雞,m3lg,2,"['歐美', '炸雞']",False,29.0,99.0,40.0,15.0,0.7365659244452418,482,2023-05-23 11:48:33.979633
2772,小金越南小吃,d072,2,"['麵食', '東南亞']",False,29.0,99.0,40.0,15.0,2.734751666179744,3,2023-05-23 11:48:33.979633
2773,呸姐麵舖,p056,1,"['麵食', '火鍋', '台式']",False,29.0,99.0,40.0,15.0,1.942678377940327,2,2023-05-23 11:48:33.979633
2774,百吃不厭 (台北北投店),pkds,1,"['歐美', '麵食', '火鍋']",False,29.0,99.0,40.0,15.0,1.1862846572438006,5,2023-05-23 11:48:33.979633
2775,尚品迷你麻辣涮涮鍋,z5fk,2,"['火鍋', '日式']",False,29.0,99.0,40.0,10.0,3.064497757363964,848,2023-05-23 11:48:33.979633
2776,沐慕茶飲feat.工作室,hfgk,2,['飲料'],False,29.0,99.0,40.0,15.0,2.753457035724346,5,2023-05-23 11:48:33.979633
2777,Alice X 餐廳,y9cr,1,"['便當', '台式']",False,29.0,99.0,40.0,15.0,2.5085177680692503,260,2023-05-23 11:48:33.979633
2778,葉子食堂,q1bu,1,"['火鍋', '台式']",False,29.0,99.0,40.0,15.0,1.1862180742275976,43,2023-05-23 11:48:33.979633
2779,天品滷味坊 (台北石牌店),xchs,2,['小吃'],False,29.0,99.0,40.0,15.0,1.2086200927739872,160,2023-05-23 11:48:33.979633
2780,我想做愛玉,couk,1,['甜點'],False,29.0,99.0,40.0,15.0,0.8120110133701018,3,2023-05-23 11:48:33.979633
2781,蓉姨的店,erd0,1,"['湯品', '麵食', '台式']",False,29.0,99.0,40.0,15.0,0.5773016744390455,107,2023-05-23 11:48:33.979633
2782,PS BUBU 金屋藏車食堂,n30c,3,"['咖啡', '蛋糕', '歐美']",False,29.0,99.0,40.0,15.0,0.6108435315381723,44,2023-05-23 11:48:33.979633
2783,百利冰果33年魷魚羹,d8cc,1,"['麵食', '台式']",False,29.0,99.0,40.0,10.0,2.0686647928374073,387,2023-05-23 11:48:33.979633
2784,剪刀石頭布韓國餐廳,rcos,3,['韓式'],False,29.0,99.0,40.0,15.0,0.9637857161972209,59,2023-05-23 11:48:33.979633
2785,Mi Bistro,hlji,1,['台式'],False,29.0,99.0,40.0,15.0,2.284665648793,39,2023-05-23 11:48:33.979633
2786,家後古早味 (台北北投店),dwdq,1,"['火鍋', '台式']",False,29.0,99.0,40.0,15.0,1.1862846572438006,1,2023-05-23 11:48:33.979633
2787,皇品珍中華料理 (SOGO百貨天母店),f4rz,1,"['火鍋', '台式']",False,29.0,99.0,40.0,15.0,1.7091849355883633,492,2023-05-23 11:48:33.979633
2788,冰來醬擋,aqay,1,['甜點'],False,29.0,99.0,40.0,15.0,3.5460875064180133,754,2023-05-23 11:48:33.979633
2789,好初廚房,fuqy,2,"['火鍋', '台式']",False,29.0,99.0,40.0,15.0,3.358596389335252,83,2023-05-23 11:48:33.979633
2790,綠蓋茶館 (士林),w3sf,1,['小吃'],False,29.0,99.0,40.0,15.0,2.9771293012224644,252,2023-05-23 11:48:33.979633
2791,Masala優格番茄•咖喱,yxzu,1,"['咖哩', '異國']",False,29.0,99.0,40.0,15.0,1.8043208127143675,1,2023-05-23 11:48:33.979633
2792,一畝田傳統豆花,z2wc,1,['甜點'],False,29.0,99.0,40.0,10.0,1.2200898653511911,1302,2023-05-23 11:48:33.979633
2793,派克 (士林基河店),d6uf,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,10.0,3.3768871276326764,3127,2023-05-23 11:48:33.979633
2794,龍內行手工生烤玉米,g72h,1,['小吃'],False,29.0,99.0,40.0,15.0,3.35473852242688,14,2023-05-23 11:48:33.979633
2795,阿卡拉炸雞 (北投尊賢店),b0rz,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,10.0,2.0443773028861956,1833,2023-05-23 11:48:33.979633
2796,轉角小吃,db4n,1,"['麵食', '小吃']",False,29.0,99.0,40.0,15.0,3.4018745419740863,5,2023-05-23 11:48:33.979633
2797,韓伯 韓式料理,nzcy,2,"['韓式', '湯品', '火鍋']",False,29.0,99.0,40.0,15.0,2.9136874799381176,3,2023-05-23 11:48:33.979633
2798,PAP'S法式餐廳,us3o,3,['歐美'],False,29.0,99.0,40.0,15.0,0.7103539540478421,31,2023-05-23 11:48:33.979633
2799,伊豆早餐店,p05f,1,"['早餐', '台式']",False,29.0,99.0,40.0,15.0,2.3140985466159334,68,2023-05-23 11:48:33.979633
2800,金蓬萊遵古台菜餐廳,tg7o,3,"['湯品', '台式']",False,29.0,99.0,40.0,15.0,0.8942858668837318,234,2023-05-23 11:48:33.979633
2801,鮮味早午食店,r16h,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,29.0,99.0,40.0,15.0,2.727387577431696,169,2023-05-23 11:48:33.979633
2802,華榮咖啡,nomx,1,"['咖啡', '歐美', '三明治 / 吐司']",False,29.0,99.0,40.0,15.0,2.5414114414853763,10,2023-05-23 11:48:33.979633
2803,111小館,x7ei,3,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,1.3207688514016744,560,2023-05-23 11:48:33.979633
2804,香港明星綜合美食,m2es,1,"['麵食', '港式']",False,29.0,99.0,40.0,15.0,3.1443380395181184,1216,2023-05-23 11:48:33.979633
2805,一帖漢方麻辣燙,u0ej,1,['小吃'],False,29.0,99.0,40.0,15.0,3.321724517256961,212,2023-05-23 11:48:33.979633
2806,台南府城溫體牛肉湯,h81i,1,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,3.4013089881332412,0,2023-05-23 11:48:33.979633
2807,寶飽煲小館,hvwt,3,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,2.675163191625193,44,2023-05-23 11:48:33.979633
2808,彭阿星鐵板燒潛艇堡/沙威瑪 (北投吉利店),ytka,2,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,2.1105976947256626,180,2023-05-23 11:48:33.979633
2809,韓國叔叔 (北投石牌總店),e4hu,1,['韓式'],False,29.0,99.0,40.0,10.0,1.162125499164849,3801,2023-05-23 11:48:33.979633
2810,尚讚豆腐乳雞排 (北投石牌店),f3pt,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,1.164614183695245,1768,2023-05-23 11:48:33.979633
2811,宇滷味 (台北石牌店),y7me,1,['小吃'],False,29.0,99.0,40.0,15.0,1.1467965171678838,3661,2023-05-23 11:48:33.979633
2812,福雞排-石牌店,l4ap,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,2.0455972102391184,1808,2023-05-23 11:48:33.979633
2813,打邊爐  鍋物專賣,l677,1,"['火鍋', '台式']",False,29.0,99.0,40.0,15.0,2.0997976642764486,12,2023-05-23 11:48:33.979633
2814,戀記手工煎餃,vf7j,1,"['小吃', '餃子']",False,29.0,99.0,40.0,15.0,1.4834960903855547,54,2023-05-23 11:48:33.979633
2815,開源社香雞排 (士林福國店),a4yd,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,10.0,2.1158746780265143,1769,2023-05-23 11:48:33.979633
2816,好了啦紅茶冰士林大南店,i1yk,1,['飲料'],False,29.0,99.0,40.0,15.0,3.4817821808394047,458,2023-05-23 11:48:33.979633
2817,無店名魷魚羹,r0wa,1,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,3.4193769480694147,388,2023-05-23 11:48:33.979633
2818,仙客來海鮮餐廳,gbgb,3,['台式'],False,29.0,99.0,40.0,15.0,1.478780466861073,92,2023-05-23 11:48:33.979633
2819,喫尤平價鐵板燒 (台北士林店),p5zs,3,"['鐵板燒', '台式', '牛排']",False,29.0,99.0,40.0,15.0,3.389152274777231,62,2023-05-23 11:48:33.979633
2820,花東富貴雞&北投鮮味滷味,oi6m,3,['小吃'],False,29.0,99.0,40.0,15.0,2.9136874799381176,42,2023-05-23 11:48:33.979633
2821,C.O Poke夏威夷飯 (台北明德店),rez0,2,['歐美'],False,29.0,99.0,40.0,15.0,0.7911866449949123,30,2023-05-23 11:48:33.979633
2822,緯大雞排 (石牌尊賢店),s993,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,2.028506198340845,103,2023-05-23 11:48:33.979633
2823,內湖737巷豬大郎豬血糕(北投店)&虎咬豬刈包,h7fn,1,['小吃'],False,29.0,99.0,40.0,15.0,2.9057341327162742,438,2023-05-23 11:48:33.979633
2824,士林夜市341牛排,ftls,2,"['台式', '牛排']",False,29.0,99.0,40.0,15.0,3.530698338859955,89,2023-05-23 11:48:33.979633
